Name,DBH (cm),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Aesculus hippocastanum,60,10,3,8,50.3,17.6,2.83
Aesculus hippocastanum,18,6,1.8,3,7.1,3,0.48
Aesculus hippocastanum,60,12,3.6,7,38.5,17.7,2.85
Aesculus hippocastanum,18,6,1.8,3,7.1,3,0.48
Aesculus hippocastanum,10,4,1.2,4,12.6,1.3,0.2
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,7,6,1.8,2,3.1,1.1,0.18
Carpinus betulus,10,10,3,3,7.1,1.7,0.27
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Celtis australis,60,12,3.6,14,153.9,2.2,0.35
Celtis australis,70,16,4.8,9,63.6,1.8,0.29
Celtis australis,45,12,3.6,8,50.3,1.8,0.28
Celtis australis,70,17,5.1,13,132.7,1.8,0.29
Celtis australis,60,14,4.2,11,95,2.2,0.35
Celtis australis,80,15,4.5,16,201.1,1.2,0.19
Celtis australis,35,25,7.5,4,12.6,1.5,0.24
Celtis australis,19,9,2.7,8,50.3,1,0.15
Celtis australis,3,3,0.9,1.5,1.8,0.3,0.04
Celtis australis,20,6,1.8,6,28.3,1,0.16
Celtis australis,25,7,2.1,10,78.5,1.2,0.19
Celtis australis,18,8,2.4,7,38.5,0.9,0.15
Celtis australis,17,8,2.4,7,38.5,0.9,0.14
Celtis australis,25,8,2.4,7,38.5,1.2,0.19
Celtis australis,18,8,2.4,5,19.6,0.9,0.15
Celtis australis,22,7,2.1,6,28.3,1.1,0.17
Celtis australis,60,13,3.9,14,153.9,2.2,0.35
Celtis australis,70,16,4.8,9,63.6,1.8,0.29
Celtis australis,15,9,2.7,3,7.1,0.8,0.13
Celtis australis,71,13,3.9,13,132.7,1.7,0.28
Celtis australis,13,3.5,1,4,12.6,0.7,0.12
Celtis australis,16,8,2.4,7,38.5,0.8,0.14
Celtis australis,18,8,2.4,7,38.5,0.9,0.15
Celtis australis,18,8,2.4,8,50.3,0.9,0.15
Celtis australis,15,8,2.4,7,38.5,0.8,0.13
Celtis australis,22,8,2.4,8,50.3,1.1,0.17
Celtis australis,22,8,2.4,6,28.3,1.1,0.17
Celtis australis,29,8.5,2.6,6,28.3,1.3,0.21
Celtis australis,22,10,3,8.5,56.7,1.1,0.17
Celtis australis,100,14,4.2,9,63.6,0.1,0.01
Celtis australis,90,12,3.6,8,50.3,0.4,0.07000000000000001
Platanus x hispanica,120,24,7.2,19,283.5,5.5,0.88
Platanus x hispanica,140,22,6.6,18,254.5,0.7,0.11
Platanus x hispanica,180,16,4.8,13,132.7,8.1,1.31
Platanus x hispanica,130,28,8.4,15,176.7,3.1,0.5
Platanus x hispanica,140,25,7.5,18,254.5,0.7,0.11
Platanus x hispanica,160,25,7.5,15,176.7,0.3,0.04
Platanus x hispanica,130,24,7.2,18,254.5,3.1,0.5
Platanus x hispanica,140,24,7.2,19,283.5,0.7,0.11
Platanus x hispanica,210,30,9,23,415.5,8.1,1.31
Platanus x hispanica,160,23,6.9,19,283.5,0.3,0.04
Platanus x hispanica,100,21,6.3,18,254.5,34.9,5.61
Platanus x hispanica,100,16,4.8,12,113.1,34.9,5.61
Platanus x hispanica,110,21,6.3,17,227,30.1,4.83
Platanus x hispanica,130,17,5.1,11,95,3.1,0.5
Platanus x hispanica,120,18,5.4,16,201.1,5.5,0.88
Platanus x hispanica,140,16,4.8,18,254.5,0.7,0.11
Platanus x hispanica,160,23,6.9,22,380.1,0.3,0.04
Platanus x hispanica,100,14,4.2,12,113.1,34.9,5.61
Platanus x hispanica,180,26,7.8,24,452.4,8.1,1.31
Platanus x hispanica,130,12,3.6,12,113.1,3.1,0.5
Platanus x hispanica,160,18,5.4,20,314.2,0.3,0.04
Platanus x hispanica,120,25,7.5,18,254.5,5.5,0.88
Platanus x hispanica,200,27,8.1,26,530.9,8.1,1.31
Platanus x hispanica,130,28,8.4,25,490.9,3.1,0.5
Platanus x hispanica,100,24,7.2,17,227,34.9,5.61
Platanus x hispanica,180,25,7.5,21,346.4,8.1,1.31
Platanus x hispanica,180,24,7.2,26,530.9,8.1,1.31
Platanus x hispanica,110,20,6,13,132.7,30.1,4.83
Tilia cordata,17,5,1.5,4,12.6,2.3,0.36
Tilia x europaea,28,12,3.6,9,63.6,10.6,1.7
Tilia x europaea,12,6,1.8,6,28.3,3.4,0.54
Tilia x europaea,15,6,1.8,5,19.6,4.6,0.73
Tilia x europaea,18,7,2.1,6,28.3,5.8,0.9399999999999999
Tilia x europaea,18,8.6,2.6,8,50.3,5.8,0.9399999999999999
Tilia x europaea,4,4,1.2,2,3.1,0.8,0.13
Tilia x europaea,14,6,1.8,3,7.1,4.2,0.67
Tilia x europaea,14,6,1.8,3,7.1,4.2,0.67
Tilia x europaea,13.7,6,1.8,4,12.6,4,0.65
Celtis australis,41,12,3.6,8,50.3,1.6,0.26
Celtis australis,41,12,3.6,11,95,1.6,0.26
Celtis australis,40,12,3.6,8,50.3,1.6,0.26
Celtis australis,70,17,5.1,9,63.6,1.8,0.29
Celtis australis,70,12,3.6,11,95,1.8,0.29
Celtis australis,85,18,5.4,12,113.1,0.8,0.13
Celtis australis,85,15,4.5,9,63.6,0.8,0.13
Celtis australis,85,9,2.7,12,113.1,0.8,0.13
Celtis australis,70,18,5.4,10,78.5,1.8,0.29
Celtis australis,85,17,5.1,8,50.3,0.8,0.13
Celtis australis,80,9,2.7,12,113.1,1.2,0.19
Celtis australis,65,9,2.7,8,50.3,2,0.32
Celtis australis,40,11,3.3,9,63.6,1.6,0.26
Celtis australis,20,15,4.5,4,12.6,1,0.16
Celtis australis,30,10,3,3,7.1,1.3,0.21
Celtis australis,15,12,3.6,4,12.6,0.8,0.13
Aesculus hippocastanum,15,6,1.8,3,7.1,2.3,0.37
Aesculus hippocastanum,40,8,2.4,6,28.3,9.6,1.54
Aesculus hippocastanum,30,6,1.8,6,28.3,6.2,0.99
Aesculus hippocastanum,35,7,2.1,5,19.6,7.8,1.25
Aesculus hippocastanum,25,8,2.4,4,12.6,4.8,0.78
Aesculus hippocastanum,60,14,4.2,9,63.6,17.9,2.87
Aesculus hippocastanum,15,6,1.8,3,7.1,2.3,0.37
Aesculus hippocastanum,35,8,2.4,6,28.3,7.9,1.26
Aesculus hippocastanum,30,8,2.4,8,50.3,6.3,1.01
Carpinus betulus,18,10,3,6,28.3,3.5,0.55
Carpinus betulus,16,6,1.8,4,12.6,3,0.48
Carpinus betulus,10,10,3,3,7.1,1.7,0.27
Carpinus betulus,10,10,3,3,7.1,1.7,0.27
Carpinus betulus,20,12,3.6,3,7.1,3.9,0.63
Carpinus betulus,20,12,3.6,3,7.1,3.9,0.63
Carpinus betulus,25,18,5.4,4,12.6,5.3,0.85
Carpinus betulus,25,20,6,4,12.6,5.3,0.85
Carpinus betulus,40,12,3.6,6,28.3,4.4,0.71
Carpinus betulus,40,12,3.6,8,50.3,4.4,0.71
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Celtis australis,25,10,3,9,63.6,1.2,0.19
Celtis australis,25,10,3,9,63.6,1.2,0.19
Celtis australis,27,12,3.6,10,78.5,1.2,0.2
Celtis australis,30,20,6,4,12.6,1.3,0.21
Celtis australis,15,7,2.1,4,12.6,0.8,0.13
Platanus x hispanica,160,25,7.5,19,283.5,0.3,0.04
Platanus x hispanica,170,26,7.8,22,380.1,8.1,1.31
Platanus x hispanica,190,26,7.8,23,415.5,8.1,1.31
Platanus x hispanica,180,25,7.5,22,380.1,8.1,1.31
Platanus x hispanica,90,20,6,12,113.1,36.5,5.86
Platanus x hispanica,120,20,6,12,113.1,5.5,0.88
Platanus x hispanica,100,21,6.3,16,201.1,34.9,5.61
Aesculus hippocastanum,8,3,0.9,3,7.1,0.9,0.15
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,30,5,1.5,5,19.6,6.7,1.08
Aesculus hippocastanum,18,7.5,2.3,4,12.6,3,0.48
Aesculus hippocastanum,16,8,2.4,3.5,9.6,2.6,0.41
Aesculus hippocastanum,22,12,3.6,3.5,9.6,4.2,0.67
Celtis australis,29,10,3,8,50.3,1.3,0.21
Celtis australis,35,8,2.4,10,78.5,1.5,0.24
Platanus x hispanica,28,10,3,10,78.5,6.7,1.08
Platanus x hispanica,26,10,3,11,95,6,0.97
Platanus x hispanica,16,6.5,1.9,5,19.6,3,0.48
Platanus x hispanica,15,6.5,1.9,5,19.6,2.7,0.43
Tilia cordata,30,10,3,10,78.5,4.9,0.78
Celtis australis,52,14,4.2,12,113.1,2,0.31
Celtis australis,45,12.5,3.8,10,78.5,1.8,0.28
Celtis australis,28,10,3,12,113.1,1.3,0.2
Tilia x europaea,32,10,3,9,63.6,12.7,2.04
Tilia x europaea,28,10,3,8,50.3,10.6,1.7
Tilia x europaea,42,10,3,10,78.5,18.3,2.94
Platanus x hispanica,10,3,0.9,2,3.1,1.5,0.24
Tilia cordata,8,4,1.2,1.5,1.8,0.8,0.13
Tilia cordata,10,5,1.5,3,7.1,1.1,0.18
Tilia cordata,10,4.5,1.3,2,3.1,1.1,0.18
Tilia x europaea,21,7,2.1,6,28.3,7.2,1.15
Tilia x europaea,13,6,1.8,4,12.6,3.8,0.6
Tilia x europaea,21,8,2.4,6,28.3,7.2,1.15
Tilia x europaea,14,4.5,1.3,4,12.6,4.2,0.67
Tilia x europaea,20,7,2.1,4,12.6,6.7,1.08
Tilia x europaea,19,8,2.4,8,50.3,6.3,1.01
Tilia x europaea,24,8,2.4,8,50.3,8.6,1.38
Tilia x europaea,25,8,2.4,6.5,33.2,9.1,1.46
Celtis australis,42.3,13,3.9,7,38.5,1.7,0.27
Platanus x hispanica,110,24,7.2,20,314.2,30.1,4.83
Platanus x hispanica,160,25,7.5,24,452.4,0.3,0.04
Celtis australis,3,9,2.7,8,50.3,0.3,0.04
Tilia x europaea,25,15,4.5,3,7.1,9.1,1.46
Tilia x europaea,2,8,2.4,1,0.8,0.3,0.05
Celtis australis,28,20,6,3,7.1,1.3,0.2
Aesculus hippocastanum,28,8,2.4,6,28.3,5.7,0.91
Tilia x europaea,25,8,2.4,6,28.3,9.1,1.46
Tilia x europaea,16,6,1.8,3,7.1,5,0.8
Tilia x europaea,32,10,3,9,63.6,12.7,2.04
Tilia x europaea,38,10,3,10,78.5,16,2.57
Tilia x europaea,40,10,3,10,78.5,17.1,2.75
Tilia x europaea,42,10,3,10,78.5,18.3,2.94
Tilia x europaea,28,10,3,8,50.3,10.6,1.7
Carpinus betulus,32.8,14,4.2,4,12.6,6.6,1.05
Carpinus betulus,21,12,3.6,6,28.3,4.2,0.68
Carpinus betulus,21,10,3,6,28.3,4.2,0.68
Carpinus betulus,22,12,3.6,7,38.5,4.5,0.72
Carpinus betulus,17,14,4.2,7,38.5,3.2,0.52
Carpinus betulus,26,13,3.9,7,38.5,5.6,0.89
Celtis australis,25,9,2.7,8,50.3,1.2,0.19
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Aesculus hippocastanum,16,6,1.8,3,7.1,2.5,0.4
Aesculus hippocastanum,50,12,3.6,8,50.3,13.6,2.18
Aesculus hippocastanum,40,12,3.6,6,28.3,9.800000000000001,1.57
Aesculus hippocastanum,22,8,2.4,8,50.3,4,0.65
Aesculus hippocastanum,30,7,2.1,4,12.6,6.2,1
Aesculus hippocastanum,40,12,3.6,6,28.3,9.800000000000001,1.57
Aesculus hippocastanum,60,12,3.6,8,50.3,17.7,2.85
Aesculus hippocastanum,20,8,2.4,6,28.3,3.5,0.5600000000000001
Aesculus hippocastanum,30,12,3.6,6,28.3,6.5,1.04
Aesculus hippocastanum,28,8,2.4,6,28.3,5.7,0.91
Aesculus hippocastanum,38,9,2.7,8,50.3,8.9,1.43
Aesculus hippocastanum,35,8,2.4,4,12.6,7.9,1.26
Aesculus hippocastanum,40,8,2.4,6,28.3,9.6,1.54
Aesculus hippocastanum,35,8,2.4,6,28.3,7.9,1.26
Aesculus hippocastanum,36,6,1.8,6,28.3,8.1,1.3
Aesculus hippocastanum,25,6,1.8,6,28.3,4.7,0.76
Aesculus hippocastanum,45,9,2.7,8,50.3,11.4,1.84
Aesculus hippocastanum,18,5,1.5,3,7.1,2.9,0.47
Aesculus hippocastanum,50,8,2.4,6,28.3,13.3,2.14
Aesculus hippocastanum,30,10,3,6,28.3,6.4,1.02
Aesculus hippocastanum,65,12,3.6,8,50.3,20,3.21
Aesculus hippocastanum,30,6,1.8,4,12.6,6.2,0.99
Aesculus hippocastanum,35,9,2.7,6,28.3,7.9,1.27
Aesculus hippocastanum,65,12,3.6,9,63.6,20,3.21
Aesculus hippocastanum,32,7,2.1,6,28.3,6.8,1.1
Aesculus hippocastanum,35,8,2.4,6,28.3,7.9,1.26
Aesculus hippocastanum,30,7,2.1,6,28.3,6.2,1
Aesculus hippocastanum,65,12,3.6,6,28.3,20,3.21
Aesculus hippocastanum,50,12,3.6,7,38.5,13.6,2.18
Aesculus hippocastanum,18,12,3.6,6,28.3,3.2,0.51
Aesculus hippocastanum,70,12,3.6,8,50.3,22.3,3.58
Aesculus hippocastanum,30,7,2.1,6,28.3,6.2,1
Aesculus hippocastanum,18,5,1.5,4,12.6,2.9,0.47
Aesculus hippocastanum,30,12,3.6,7,38.5,6.5,1.04
Aesculus hippocastanum,60,12,3.6,6,28.3,17.7,2.85
Aesculus hippocastanum,20,7,2.1,6,28.3,3.5,0.5600000000000001
Aesculus hippocastanum,65,12,3.6,8,50.3,20,3.21
Aesculus hippocastanum,25,9,2.7,6,28.3,4.9,0.78
Aesculus hippocastanum,25,6,1.8,6,28.3,4.7,0.76
Aesculus hippocastanum,60,9,2.7,6,28.3,17.5,2.82
Aesculus hippocastanum,25,6,1.8,3,7.1,4.7,0.76
Aesculus hippocastanum,20,7,2.1,6,28.3,3.5,0.5600000000000001
Aesculus hippocastanum,15,6,1.8,4,12.6,2.3,0.37
Aesculus hippocastanum,85,12,3.6,10,78.5,29.7,4.78
Aesculus hippocastanum,40,7,2.1,8,50.3,9.5,1.53
Aesculus hippocastanum,80,12,3.6,10,78.5,27.2,4.37
Aesculus hippocastanum,72,12,3.6,10,78.5,23.3,3.74
Aesculus hippocastanum,72,12,3.6,8,50.3,23.3,3.74
Aesculus hippocastanum,70,12,3.6,7,38.5,22.3,3.58
Aesculus hippocastanum,60,10,3,9,63.6,17.6,2.83
Aesculus hippocastanum,30,6,1.8,3,7.1,6.2,0.99
Aesculus hippocastanum,40,12,3.6,6,28.3,9.800000000000001,1.57
Aesculus hippocastanum,20,4,1.2,2,3.1,3.4,0.54
Aesculus hippocastanum,80,12,3.6,8,50.3,27.2,4.37
Aesculus hippocastanum,70,12,3.6,10,78.5,22.3,3.58
Aesculus hippocastanum,50,10,3,7,38.5,13.4,2.16
Aesculus hippocastanum,70,12,3.6,10,78.5,22.3,3.58
Aesculus hippocastanum,50,12,3.6,10,78.5,13.6,2.18
Aesculus hippocastanum,80,12,3.6,10,78.5,27.2,4.37
Aesculus hippocastanum,45,10,3,5,19.6,11.5,1.85
Aesculus hippocastanum,10,3,0.9,2,3.1,1.2,0.2
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,50,10,3,14,153.9,0.3,0.05
Platanus x hispanica,190,25,7.5,20,314.2,8.1,1.31
Platanus x hispanica,180,25,7.5,20,314.2,8.1,1.31
Platanus x hispanica,100,17,5.1,15,176.7,34.9,5.61
Platanus x hispanica,190,26,7.8,26,530.9,8.1,1.31
Platanus x hispanica,100,26,7.8,22,380.1,34.9,5.61
Platanus x hispanica,190,27,8.1,24,452.4,8.1,1.31
Celtis australis,48,13,3.9,10,78.5,1.8,0.3
Celtis australis,15,4.5,1.3,3.5,9.6,0.8,0.13
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,16,6,1.8,4,12.6,0.8,0.14
Celtis australis,20,7,2.1,6,28.3,1,0.16
Celtis australis,28,8,2.4,8,50.3,1.3,0.2
Celtis australis,26,6,1.8,7,38.5,1.2,0.19
Carpinus betulus,12,5,1.5,3.5,9.6,2.1,0.34
Carpinus betulus,12,5,1.5,3,7.1,2.1,0.34
Carpinus betulus,12,4.5,1.3,2.5,4.9,2.1,0.34
Carpinus betulus,10,4.5,1.3,2.5,4.9,1.7,0.27
Carpinus betulus,8,3,0.9,1,0.8,1.3,0.21
Carpinus betulus,10,5,1.5,2.5,4.9,1.7,0.27
Carpinus betulus,29,9,2.7,9,63.6,6.4,1.03
Carpinus betulus,26,8,2.4,8,50.3,5.6,0.89
Carpinus betulus,11,6,1.8,3,7.1,1.9,0.3
Carpinus betulus,13,7,2.1,5,19.6,2.3,0.37
Carpinus betulus,13,7,2.1,5,19.6,2.3,0.37
Carpinus betulus,13,7,2.1,4,12.6,2.3,0.37
Carpinus betulus,13,7,2.1,3,7.1,2.3,0.37
Carpinus betulus,15,7,2.1,4,12.6,2.7,0.44
Carpinus betulus,15,7,2.1,4,12.6,2.7,0.44
Carpinus betulus,15,7,2.1,4,12.6,2.7,0.44
Carpinus betulus,15,7,2.1,4,12.6,2.7,0.44
Carpinus betulus,13,7,2.1,3,7.1,2.3,0.37
Carpinus betulus,15,7,2.1,4,12.6,2.7,0.44
Carpinus betulus,13,7,2.1,3,7.1,2.3,0.37
Carpinus betulus,13,7,2.1,3,7.1,2.3,0.37
Tilia cordata,15,6,1.8,4,12.6,1.9,0.31
Tilia cordata,9,4,1.2,2.5,4.9,1,0.16
Tilia cordata,11,4,1.2,3,7.1,1.3,0.2
Tilia cordata,12,5,1.5,4,12.6,1.4,0.23
Tilia cordata,17,7,2.1,6,28.3,2.3,0.36
Tilia cordata,19,7,2.1,6,28.3,2.6,0.42
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,32,9,2.7,6,28.3,6.9,1.12
Aesculus hippocastanum,50,12,3.6,9,63.6,13.6,2.18
Aesculus hippocastanum,26,9.5,2.8,7,38.5,5.2,0.83
Aesculus hippocastanum,25,10,3,7,38.5,4.9,0.79
Aesculus hippocastanum,29,9,2.7,5,19.6,6,0.97
Aesculus hippocastanum,26,10,3,6,28.3,5.2,0.83
Aesculus hippocastanum,24,9.5,2.8,7,38.5,4.6,0.74
Carpinus betulus,19,14,4.2,8,50.3,3.7,0.59
Carpinus betulus,23,13,3.9,8,50.3,4.7,0.76
Carpinus betulus,18,14,4.2,4,12.6,3.5,0.55
Carpinus betulus,18,7,2.1,4,12.6,3.5,0.55
Carpinus betulus,20,8,2.4,10,78.5,3.9,0.63
Carpinus betulus,17,6.2,1.9,3.6,10.1,3.2,0.52
Carpinus betulus,16,11,3.3,6,28.3,3,0.48
Carpinus betulus,29,12,3.6,10,78.5,6.4,1.03
Carpinus betulus,17,6.2,1.9,3.6,10.1,3.2,0.52
Celtis australis,54,15,4.5,11,95,2,0.32
Celtis australis,57,14,4.2,12,113.1,2.1,0.33
Celtis australis,52,20,6,12,113.1,2,0.31
Celtis australis,50,15,4.5,11,95,1.9,0.3
Celtis australis,52,15,4.5,12,113.1,2,0.31
Celtis australis,50,15,4.5,11,95,1.9,0.3
Celtis australis,51,13,3.9,11.5,103.9,1.9,0.31
Celtis australis,54,13,3.9,12,113.1,2,0.32
Celtis australis,50,15,4.5,11,95,1.9,0.3
Celtis australis,58,13,3.9,12,113.1,2.1,0.34
Celtis australis,57,15,4.5,12,113.1,2.1,0.33
Celtis australis,58,13,3.9,12,113.1,2.1,0.34
Celtis australis,57,14,4.2,12,113.1,2.1,0.33
Celtis australis,60,15,4.5,12,113.1,2.2,0.35
Celtis australis,63,15,4.5,13,132.7,2.1,0.34
Celtis australis,56,13,3.9,12,113.1,2.1,0.33
Celtis australis,50,13,3.9,11,95,1.9,0.3
Celtis australis,56,14,4.2,12,113.1,2.1,0.33
Celtis australis,56,15,4.5,11.5,103.9,2.1,0.33
Celtis australis,51,14,4.2,12,113.1,1.9,0.31
Celtis australis,55,14,4.2,12,113.1,2,0.33
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,53,14,4.2,11.5,103.9,2,0.32
Celtis australis,55,13,3.9,11,95,2,0.33
Celtis australis,56,15,4.5,11,95,2.1,0.33
Celtis australis,56,14,4.2,11,95,2.1,0.33
Celtis australis,60,14,4.2,12,113.1,2.2,0.35
Celtis australis,56,14,4.2,12,113.1,2.1,0.33
Celtis australis,60,14,4.2,12,113.1,2.2,0.35
Celtis australis,68,15,4.5,13,132.7,1.9,0.3
Celtis australis,68,14,4.2,12.5,122.7,1.9,0.3
Celtis australis,61,14,4.2,12.5,122.7,2.2,0.35
Celtis australis,56,13,3.9,11,95,2.1,0.33
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,62,14,4.2,12,113.1,2.1,0.34
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,65,13,3.9,12.5,122.7,2,0.32
Celtis australis,62,13,3.9,12,113.1,2.1,0.34
Celtis australis,50,14,4.2,12,113.1,1.9,0.3
Celtis australis,7,3.5,1,1.5,1.8,0.5,0.08
Celtis australis,55,13,3.9,11.5,103.9,2,0.33
Celtis australis,65,14,4.2,12,113.1,2,0.32
Celtis australis,32,11,3.3,9,63.6,1.4,0.22
Celtis australis,24,11,3.3,8,50.3,1.1,0.18
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,30,15,4.5,12,113.1,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,28,14,4.2,8,50.3,1.3,0.2
Celtis australis,7,3.5,1,1,0.8,0.5,0.08
Celtis australis,44,12,3.6,9,63.6,1.7,0.28
Celtis australis,44,12,3.6,9,63.6,1.7,0.28
Celtis australis,27,6,1.8,8,50.3,1.2,0.2
Celtis australis,42,12,3.6,10,78.5,1.7,0.27
Celtis australis,46,12,3.6,10,78.5,1.8,0.29
Celtis australis,60,14,4.2,12,113.1,2.2,0.35
Celtis australis,39,13,3.9,10,78.5,1.6,0.26
Celtis australis,42,12,3.6,11,95,1.7,0.27
Celtis australis,55,13,3.9,11,95,2,0.33
Celtis australis,52,13,3.9,11.5,103.9,2,0.31
Celtis australis,26,7,2.1,7,38.5,1.2,0.19
Celtis australis,32,11.5,3.4,10.5,86.59999999999999,1.4,0.22
Celtis australis,25,6,1.8,6,28.3,1.2,0.19
Celtis australis,54,13,3.9,12.5,122.7,2,0.32
Celtis australis,50,13,3.9,12,113.1,1.9,0.3
Celtis australis,45,15,4.5,11,95,1.8,0.28
Celtis australis,48,13,3.9,11.5,103.9,1.8,0.3
Celtis australis,48,19,5.7,11.5,103.9,1.8,0.3
Celtis australis,50,12,3.6,11.5,103.9,1.9,0.3
Celtis australis,50,12,3.6,12,113.1,1.9,0.3
Celtis australis,52,12,3.6,12.5,122.7,2,0.31
Celtis australis,47,12,3.6,11,95,1.8,0.29
Celtis australis,50,12,3.6,12,113.1,1.9,0.3
Celtis australis,52,12,3.6,12,113.1,2,0.31
Celtis australis,50,12,3.6,12,113.1,1.9,0.3
Celtis australis,50,12,3.6,12,113.1,1.9,0.3
Celtis australis,48,14,4.2,11,95,1.8,0.3
Celtis australis,49,18,5.4,11,95,1.9,0.3
Celtis australis,53,15,4.5,12,113.1,2,0.32
Celtis australis,58,15,4.5,12.5,122.7,2.1,0.34
Celtis australis,55,13,3.9,12.5,122.7,2,0.33
Celtis australis,52,13,3.9,12,113.1,2,0.31
Celtis australis,50,15,4.5,11,95,1.9,0.3
Celtis australis,53,20,6,12,113.1,2,0.32
Celtis australis,19,8,2.4,5.5,23.8,1,0.15
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,22,6,1.8,6,28.3,1.1,0.17
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,19,6,1.8,6,28.3,1,0.15
Celtis australis,14,4.5,1.3,4,12.6,0.8,0.12
Celtis australis,18,4.5,1.3,4,12.6,0.9,0.15
Celtis australis,16,4.5,1.3,4,12.6,0.8,0.14
Celtis australis,16,4.5,1.3,4,12.6,0.8,0.14
