Name,DBH (cm),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Platanus x hispanica,12,7,2.1,2,3.1,2,0.32
Platanus x hispanica,13,8,2.4,2,3.1,2.2,0.35
Platanus x hispanica,11,6,1.8,3,7.1,1.7,0.28
Platanus x hispanica,11,6,1.8,3,7.1,1.7,0.28
Carpinus betulus,7,6,1.8,3,7.1,1.1,0.18
Carpinus betulus,7,6,1.8,2,3.1,1.1,0.18
Carpinus betulus,7,6,1.8,3,7.1,1.1,0.18
Celtis australis,19,7,2.1,6,28.3,1,0.15
Tilia cordata,15,6,1.8,4,12.6,1.9,0.31
Tilia cordata,13,6,1.8,4,12.6,1.6,0.25
Tilia cordata,15,6,1.8,4,12.6,1.9,0.31
Tilia cordata,14,6,1.8,4,12.6,1.7,0.28
Tilia cordata,16,6,1.8,4,12.6,2.1,0.34
Tilia cordata,13,5,1.5,2.5,4.9,1.6,0.25
Tilia cordata,16,6,1.8,4.5,15.9,2.1,0.34
Tilia cordata,10,5,1.5,3,7.1,1.1,0.18
Tilia cordata,7,4,1.2,1.5,1.8,0.7,0.11
Tilia cordata,14,5.5,1.7,5,19.6,1.7,0.28
Tilia cordata,13,4.5,1.3,4,12.6,1.6,0.25
Tilia cordata,7,3.5,1,1.5,1.8,0.7,0.11
Tilia cordata,8,4,1.2,2,3.1,0.8,0.13
Tilia cordata,7,3,0.9,1,0.8,0.7,0.11
Tilia cordata,9,4,1.2,2,3.1,1,0.16
Tilia cordata,7,3.5,1,1.5,1.8,0.7,0.11
Tilia cordata,7,3.5,1,1.5,1.8,0.7,0.11
Tilia cordata,7,3.5,1,1.5,1.8,0.7,0.11
Tilia cordata,11,4,1.2,4,12.6,1.3,0.2
Tilia cordata,12,4.5,1.3,5,19.6,1.4,0.23
Tilia cordata,6,4,1.2,1,0.8,0.6,0.09
Tilia cordata,14,6,1.8,4,12.6,1.7,0.28
Tilia cordata,13,5,1.5,4,12.6,1.6,0.25
Tilia cordata,9,4,1.2,1.5,1.8,1,0.16
Tilia cordata,10,4,1.2,3,7.1,1.1,0.18
Tilia cordata,10,4,1.2,3,7.1,1.1,0.18
Tilia cordata,12,4.5,1.3,4,12.6,1.4,0.23
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,9,3,0.9,1,0.8,1,0.16
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,11,5,1.5,2.5,4.9,0.7,0.1
Celtis australis,11,5,1.5,2.5,4.9,0.7,0.1
Celtis australis,11,5,1.5,2.5,4.9,0.7,0.1
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,13,6,1.8,5,19.6,0.7,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,12,6,1.8,4,12.6,0.7,0.11
Celtis australis,12,6,1.8,4,12.6,0.7,0.11
Celtis australis,16,6,1.8,4,12.6,0.8,0.14
Celtis australis,12,6,1.8,4,12.6,0.7,0.11
Celtis australis,12,6,1.8,4,12.6,0.7,0.11
Celtis australis,12,6,1.8,4,12.6,0.7,0.11
Celtis australis,9,5,1.5,2.5,4.9,0.6,0.09
Celtis australis,11,5,1.5,2.5,4.9,0.7,0.1
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,11,5,1.5,2.5,4.9,0.7,0.1
Celtis australis,11,5,1.5,3,7.1,0.7,0.1
Celtis australis,11,5,1.5,3,7.1,0.7,0.1
Celtis australis,11,5,1.5,3,7.1,0.7,0.1
Celtis australis,9,5,1.5,2.5,4.9,0.6,0.09
Celtis australis,11,5,1.5,3,7.1,0.7,0.1
Celtis australis,11,5,1.5,3,7.1,0.7,0.1
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
