Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,canopy_cov,index_right,numero_cir,area,perimetro,Region,fumetto
152.0,Tilia cordata,11,489.05,18.8,3.02,1.3,0.2,0,0.03,,,12.8,0.07000000000000001,,0.3,3.4,5,1.5,2.5,4.9,8.9,0.7,46.05766725050884,11.15306720812182,POINT (11.15306720812182 46.05766725050884),4.9,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
170.0,Sorbus,18,744.35,131.7,21.16,5.6,0.9,0,0.06,,,26.7,0.14,,1.1,14.9,5,1.5,4,12.6,18.4,1.5,46.05755090882118,11.15305104888987,POINT (11.15305104888987 46.05755090882118),12.6,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
171.0,Sorbus,18,744.35,131.7,21.16,5.6,0.9,0,0.03,,,13,0.07000000000000001,,0.99,14.9,5,1.5,3,7.1,8.9,0.7,46.05743458417034,11.15303398542232,POINT (11.15303398542232 46.05743458417034),7.1,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
172.0,Sorbus,18,744.35,131.7,21.16,5.6,0.9,0,0.06,,,26.7,0.14,,1.1,14.9,5,1.5,4,12.6,18.4,1.5,46.05731550463698,11.15304370554478,POINT (11.15304370554478 46.05731550463698),12.6,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
173.0,Sorbus,18,744.35,131.7,21.16,5.6,0.9,0,0.06,,,26.7,0.14,,1.1,14.9,5,1.5,4,12.6,18.4,1.5,46.05720288780939,11.15307824042773,POINT (11.15307824042773 46.05720288780939),12.6,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
647.0,Celtis australis,15,625.04,17.5,2.81,0.8,0.13,0.1,0.12,,,48.4,0.25,,0.49,2.2,4.5,1.3,5,19.6,33.3,2,46.05991357674008,11.15402285720796,POINT (11.15402285720796 46.05991357674008),19.6,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
736.0,Pinus nigra,40,2416.09,271,43.54,4.6,0.75,0.5,0.89,,,371.9,1.91,,3.55,12.4,15,4.5,9,63.6,256.4,24.7,46.06726147401588,11.16515967633904,POINT (11.16515967633904 46.06726147401588),63.6,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
739.0,Liriodendron tulipifera,20,918.1799999999999,76.5,12.29,3.8,0.6,0.1,0.13,,,56.2,0.29,,1.03,10,12,3.6,4,12.6,38.7,2.3,46.06644832993922,11.15978868116412,POINT (11.15978868116412 46.06644832993922),12.6,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
746.0,Acer,14,598.97,93.90000000000001,15.08,4.6,0.74,0.1,0.21,,,89.7,0.46,,1.41,12.2,8,2.4,6,28.3,61.8,3.5,46.067607537306,11.16045315806491,POINT (11.16045315806491 46.067607537306),28.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
747.0,Juglans,22,901.53,137,22.01,4.7,0.76,0.3,0.53,,,220.7,1.13,,2.42,12.6,12,3.6,8,50.3,152.1,8.4,46.06756012437681,11.16038549082239,POINT (11.16038549082239 46.06756012437681),50.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
