Tree Type,ARGENTARIO,BONDONE,CENTRO STORICO PIEDICASTELLO,GARDOLO,MATTARELLO,MEANO,OLTREFERSINA,POVO,RAVINA-ROMAGNANO,S.GIUSEPPE-S.CHIARA,SARDAGNA,VILLAZZANO,Tree Type Grand Total
Magnolia x soulangeana,4,0,4,5,0,0,0,0,0,0,0,0,13
Olea europaea,0,0,9,0,0,0,4,0,0,0,0,0,13
Parthenocissus,0,0,0,0,0,0,0,0,0,13,0,0,13
Pterocarya rhoifolia,0,0,4,3,0,1,3,0,0,2,0,0,13
Corylus avellana,2,0,4,2,0,0,2,0,0,0,0,2,12
Pyrus,0,1,1,0,0,0,8,0,0,2,0,0,12
Taxodium distichum,0,0,3,6,0,0,3,0,0,0,0,0,12
Ailanthus altissima,0,0,1,1,0,0,9,0,0,0,0,0,11
Crataegus x lavallei,0,0,9,0,0,0,1,0,0,1,0,0,11
Picea pungens,0,0,0,0,0,0,10,0,0,1,0,0,11
Prunus mahaleb,0,0,8,0,0,0,3,0,0,0,0,0,11
Sorbus,1,1,0,0,0,0,2,5,0,0,0,2,11
Alnus incana,0,0,5,0,0,5,0,0,0,0,0,0,10
Davidia involucrata,0,0,1,4,0,2,1,0,0,1,0,1,10
Ficus carica,1,1,2,0,0,0,5,0,0,0,0,1,10
Photinia x fraseri,0,0,4,0,0,0,0,0,0,6,0,0,10
Pinus wallichiana,3,0,3,0,0,0,3,0,0,1,0,0,10
Cedrus,0,0,7,0,0,0,0,0,0,2,0,0,9
Larix decidua,0,0,4,0,2,0,3,0,0,0,0,0,9
Malus,1,0,2,1,1,0,0,3,0,1,0,0,9
Salix babylonica,1,0,0,8,0,0,0,0,0,0,0,0,9
Thuja,0,0,4,0,0,0,5,0,0,0,0,0,9
Abies,0,0,0,0,0,0,0,0,0,0,0,0,8
Cornus,0,1,0,0,0,0,2,0,0,0,0,5,8
Metasequoia glyptostroboides,0,0,2,2,4,0,0,0,0,0,0,0,8
Sorbus thuringiaca,0,1,1,0,0,0,2,0,0,4,0,0,8
Diospyros kaki,1,0,2,0,0,0,3,0,0,0,0,1,7
Diospyros lotus,0,0,4,0,0,0,3,0,0,0,0,0,7
Elaeagnus pungens,0,0,0,0,0,0,7,0,0,0,0,0,7
Juglans regia,0,0,4,0,0,0,3,0,0,0,0,0,7
Nerium oleander,0,0,5,0,0,0,1,0,0,1,0,0,7
Prunus laurocerasus,0,0,1,0,0,0,5,0,0,1,0,0,7
Salix,0,0,5,1,0,0,1,0,0,0,0,0,7
Sorbus torminalis,0,0,0,0,0,2,3,0,0,1,0,1,7
Acer tataricum ssp. ginnala,0,1,0,4,0,0,0,0,0,0,0,1,6
Alnus glutinosa,0,0,0,3,0,0,1,0,0,1,0,1,6
Corylus maxima,0,0,1,1,0,0,2,2,0,0,0,0,6
Cupressus arizonica,1,4,0,0,0,0,0,0,0,1,0,0,6
Juniperus chinensis,0,0,0,0,0,0,6,0,0,0,0,0,6
Laurus nobilis,0,0,2,0,0,0,1,0,0,3,0,0,6
Magnolia,0,0,2,0,1,0,1,0,0,2,0,0,6
Populus,0,0,5,0,0,0,1,0,0,0,0,0,6
Prunus padus,0,0,5,0,0,0,0,0,0,1,0,0,6
Pterocarya,0,0,0,0,0,0,5,0,0,1,0,0,6
Crataegus monogyna,0,0,2,0,0,0,2,0,0,1,0,0,5
Photinia serrulata,0,0,3,0,0,0,0,0,0,2,0,0,5
Picea,0,1,1,0,0,0,2,0,0,1,0,0,5
Picea glauca,0,0,4,0,1,0,0,0,0,0,0,0,5
Quercus cerris,0,0,0,0,0,0,5,0,0,0,0,0,5
Zelkova carpinifolia,0,0,5,0,0,0,0,0,0,0,0,0,5
Juniperus drupacea,0,0,0,0,0,0,4,0,0,0,0,0,4
Morus,0,0,1,0,0,0,2,0,0,1,0,0,4
Picea obovata,0,0,0,0,0,0,4,0,0,0,0,0,4
Pinus,0,0,2,1,1,0,0,0,0,0,0,0,4
Prunus domestica,0,0,0,0,0,0,0,0,0,0,0,4,4
Tilia tomentosa,0,3,0,0,0,0,1,0,0,0,0,0,4
