,year,month,min_temp,max_temp,avg
64,1996,5,9.548387096774194,23.516129032258064,16.532258064516128
65,1996,6,13.2,28.266666666666666,20.733333333333334
66,1996,7,15.129032258064516,28.870967741935484,22.0
67,1996,8,11.0,28.161290322580644,19.58064516129032
68,1996,9,8.9,22.266666666666666,15.583333333333332
69,1996,10,7.064516129032258,14.96774193548387,11.016129032258064
70,1996,11,2.933333333333333,9.133333333333333,6.033333333333333
71,1996,12,-1.3225806451612903,4.354838709677419,1.5161290322580645
72,1997,1,-1.6129032258064515,4.096774193548387,1.2419354838709677
73,1997,2,-1.3571428571428572,8.035714285714286,3.3392857142857144
74,1997,3,2.4516129032258065,17.870967741935484,10.161290322580646
75,1997,4,3.6,19.8,11.700000000000001
76,1997,5,9.935483870967742,24.161290322580644,17.048387096774192
77,1997,6,13.7,25.4,19.549999999999997
78,1997,7,14.193548387096774,28.612903225806452,21.403225806451612
79,1997,8,15.516129032258064,29.64516129032258,22.58064516129032
80,1997,9,11.933333333333334,27.466666666666665,19.7
81,1997,10,5.516129032258065,16.516129032258064,11.016129032258064
82,1997,11,1.6333333333333333,9.033333333333333,5.333333333333333
83,1997,12,-0.967741935483871,5.258064516129032,2.1451612903225805
84,1998,1,-2.2580645161290325,4.387096774193548,1.0645161290322578
85,1998,2,-1.6785714285714286,9.821428571428571,4.071428571428571
86,1998,3,0.8387096774193549,15.419354838709678,8.129032258064516
87,1998,4,6.133333333333334,17.3,11.716666666666667
88,1998,5,10.129032258064516,25.096774193548388,17.612903225806452
89,1998,6,15.0,27.966666666666665,21.483333333333334
90,1998,7,16.06451612903226,29.903225806451612,22.983870967741936
91,1998,8,16.129032258064516,31.225806451612904,23.67741935483871
92,1998,9,11.1,23.433333333333334,17.266666666666666
93,1998,10,5.967741935483871,14.32258064516129,10.14516129032258
94,1998,11,-1.0666666666666667,7.266666666666667,3.1
95,1998,12,-4.967741935483871,3.4193548387096775,-0.7741935483870968
96,1999,1,-2.161290322580645,4.032258064516129,0.935483870967742
97,1999,2,-3.25,6.428571428571429,1.5892857142857144
98,1999,3,2.129032258064516,14.516129032258064,8.32258064516129
99,1999,4,6.466666666666667,20.1,13.283333333333335
100,1999,5,12.67741935483871,23.483870967741936,18.080645161290324
101,1999,6,13.566666666666666,26.433333333333334,20.0
102,1999,7,16.0,30.0,23.0
103,1999,8,16.451612903225808,28.29032258064516,22.370967741935484
104,1999,9,12.833333333333334,24.833333333333332,18.833333333333332
105,1999,10,7.774193548387097,15.741935483870968,11.758064516129032
106,1999,11,0.6666666666666666,8.433333333333334,4.55
107,1999,12,-3.161290322580645,3.5483870967741935,0.19354838709677424
108,2000,1,-6.516129032258065,2.806451612903226,-1.8548387096774195
109,2000,2,-1.9310344827586208,8.206896551724139,3.137931034482759
110,2000,3,1.7419354838709677,14.64516129032258,8.193548387096774
111,2000,4,8.2,19.3,13.75
112,2000,5,12.612903225806452,25.096774193548388,18.85483870967742
113,2000,6,14.333333333333334,28.866666666666667,21.6
114,2000,7,14.096774193548388,28.032258064516128,21.064516129032256
115,2000,8,15.64516129032258,29.677419354838708,22.661290322580644
116,2000,9,10.0,26.727272727272727,18.363636363636363
117,2000,10,9.241379310344827,16.03448275862069,12.637931034482758
118,2000,11,3.433333333333333,8.9,6.166666666666667
119,2000,12,-0.16129032258064516,5.483870967741935,2.661290322580645
120,2001,1,-1.1612903225806452,3.806451612903226,1.3225806451612905
121,2001,2,-0.6785714285714286,8.821428571428571,4.071428571428571
122,2001,3,5.32258064516129,14.258064516129032,9.79032258064516
123,2001,4,4.866666666666666,17.866666666666667,11.366666666666667
124,2001,5,12.419354838709678,26.451612903225808,19.435483870967744
125,2001,6,12.7,27.366666666666667,20.03333333333333
126,2001,7,16.64516129032258,30.483870967741936,23.564516129032256
127,2001,8,16.35483870967742,30.548387096774192,23.451612903225808
128,2001,9,9.133333333333333,21.5,15.316666666666666
129,2001,10,9.612903225806452,17.29032258064516,13.451612903225806
130,2001,11,0.1,7.3,3.6999999999999997
131,2001,12,-5.129032258064516,3.2903225806451615,-0.9193548387096773
132,2002,1,-6.096774193548387,2.3548387096774195,-1.8709677419354838
133,2002,2,0.2857142857142857,8.5,4.392857142857143
134,2002,3,3.806451612903226,15.935483870967742,9.870967741935484
135,2002,4,6.566666666666666,18.3,12.433333333333334
136,2002,5,11.774193548387096,22.70967741935484,17.241935483870968
137,2002,6,15.9,28.166666666666668,22.033333333333335
138,2002,7,16.741935483870968,29.0,22.870967741935484
139,2002,8,16.096774193548388,28.225806451612904,22.161290322580648
140,2002,9,12.033333333333333,22.566666666666666,17.3
141,2002,10,7.645161290322581,15.516129032258064,11.580645161290322
142,2002,11,5.0,10.733333333333333,7.866666666666666
143,2002,12,0.3225806451612903,5.354838709677419,2.8387096774193545
144,2003,1,-2.1645161290322585,4.509677419354838,1.1725806451612897
145,2003,2,-4.1571428571428575,5.375,0.6089285714285713
146,2003,3,2.564516129032258,15.835483870967742,9.2
147,2003,4,7.5,18.576666666666668,13.038333333333334
148,2003,5,12.74193548387097,26.72258064516129,19.73225806451613
149,2003,6,18.336666666666666,32.309999999999995,25.32333333333333
150,2003,7,18.1,30.845161290322583,24.472580645161294
151,2003,8,19.025806451612905,34.00645161290322,26.516129032258064
152,2003,9,11.976666666666665,24.82333333333333,18.4
153,2003,10,6.267741935483873,13.612903225806454,9.940322580645162
154,2003,11,3.606666666666665,9.233333333333333,6.419999999999999
155,2003,12,-0.41612903225806464,5.758064516129034,2.6709677419354847
156,2004,1,-2.3419354838709676,4.0193548387096785,0.8387096774193554
157,2004,2,-0.07931034482758617,7.155172413793105,3.5379310344827593
158,2004,3,3.574193548387097,12.806451612903226,8.190322580645162
159,2004,4,8.389999999999999,19.18,13.785
160,2004,5,10.05483870967742,22.329032258064515,16.191935483870967
161,2004,6,16.04,27.81333333333333,21.926666666666662
162,2004,7,16.887096774193548,29.174193548387088,23.030645161290316
163,2004,8,17.516129032258068,29.37741935483871,23.44677419354839
164,2004,9,13.49,25.31666666666666,19.40333333333333
165,2004,10,11.958064516129031,17.951612903225808,14.95483870967742
166,2004,11,2.250000000000001,9.966666666666667,6.108333333333334
167,2004,12,-0.061290322580645346,5.835483870967743,2.887096774193549
168,2005,1,-3.141935483870967,4.574193548387097,0.7161290322580649
169,2005,2,-1.6678571428571427,6.610714285714286,2.4714285714285715
170,2005,3,2.8806451612903228,14.145161290322584,8.512903225806454
171,2005,4,7.263333333333333,18.743333333333332,13.003333333333332
172,2005,5,12.58064516129032,25.40967741935483,18.995161290322574
173,2005,6,17.00666666666667,29.509999999999998,23.258333333333333
174,2005,7,17.438709677419357,29.99032258064516,23.71451612903226
175,2005,8,16.345161290322583,27.467741935483875,21.90645161290323
176,2005,9,14.110000000000003,24.686666666666664,19.398333333333333
177,2005,10,8.364516129032259,15.835483870967742,12.100000000000001
178,2005,11,2.05,8.800000000000002,5.425000000000001
