Name,Size,Carbon,Canopy
Olea europaea,22.0,130.91538461538462,16.092307692307692
Osmanthus fragrans,28.2,240.86666666666667,21.7
Ostrya carpinifolia,22.421800947867297,229.9919431279621,13.715165876777252
Parrotia persica,11.9375,38.088235294117645,6.696323529411765
Parthenocissus,28.199999999999996,343.1,21.699999999999996
Paulownia tomentosa,56.68695652173913,392.1608695652174,53.76521739130435
Philadelphus,28.2,396.2,21.7
Philadelphus pubescens,28.2,396.2,21.7
Photinia serrulata,7.4,15.8,2.6399999999999997
Photinia x fraseri,11.15,44.67,11.45
Picea,37.160000000000004,915.28,28.68
Picea abies,34.95538461538462,377.2069230769231,25.84846153846154
Picea glauca,32.0,231.85999999999999,22.32
Picea obovata,21.0,269.6,11.225
Picea pungens,32.11818181818182,271.3,14.8
Picea sitchensis,25.0,132.2,7.1
Pinus,28.65,363.59999999999997,40.6
Pinus bungeana,41.4,293.8,19.6
Pinus cembra,36.0,447.5,38.5
Pinus coulteri,55.0,1194.5,63.6
Pinus halepensis,45.0,374.6666666666667,28.3
Pinus nigra,34.60716417910448,201.76029850746266,23.548955223880597
Pinus pinaster,41.666666666666664,257.23333333333335,17.833333333333332
Pinus strobus,44.958333333333336,350.80833333333334,37.141666666666666
Pinus sylvestris,33.46,218.14666666666665,17.689999999999998
Pinus wallichiana,61.61,673.7,48.18
Pittosporum tobira,28.2,396.4666666666667,3.1
Platanus,72.48148148148148,3195.418518518519,173.0
Platanus occidentalis,62.25,981.07,117.05499999999999
Platanus orientalis,72.41818181818182,1290.4636363636364,132.68636363636364
Platanus x acerifolia 'Bloodgood',35.695454545454545,914.3122727272728,49.92181818181818
Platanus x hispanica,54.12609561752988,2157.9948207171315,102.36274900398406
Populus,77.71666666666667,4872.2,49.81666666666666
Populus alba,70.33181818181818,1704.0454545454545,84.41363636363636
Populus nigra,69.73,2046.7890909090909,48.51272727272727
Populus tremula,95.0,3455.3,86.75
Prunus,15.986842105263158,108.60000000000001,11.586842105263159
Prunus amygdalus,10.0,25.3,0.8
Prunus avium,19.991346153846152,198.62019230769232,14.20528846153846
Prunus cerasifera,19.65,159.642,13.300571428571429
Prunus domestica,13.75,63.9,7.1
Prunus dulcis,8.27142857142857,46.9952380952381,4.752380952380952
