,size
730,26.2
731,26.2
732,7.0
733,8.0
734,8.0
735,8.0
736,7.0
737,7.0
738,7.0
739,7.0
740,7.0
741,7.0
742,7.0
743,7.0
744,7.0
745,7.0
746,7.0
747,7.0
748,7.0
749,7.0
750,7.0
751,7.0
752,7.0
753,7.0
754,7.0
755,7.0
756,7.0
757,7.0
758,7.0
759,7.0
760,7.0
761,7.0
762,7.0
763,7.0
764,7.0
765,7.0
766,35.0
767,22.0
768,19.0
769,30.0
770,35.0
771,25.0
772,50.0
773,35.0
774,42.0
775,22.0
776,20.0
777,28.0
778,35.0
779,24.0
780,12.0
781,12.0
782,12.0
783,12.0
784,10.0
785,10.0
786,16.0
787,18.0
788,10.0
789,10.0
790,10.0
791,10.0
792,10.0
793,3.2
794,15.0
795,55.0
796,55.0
797,55.0
798,70.0
799,41.0
800,22.0
801,22.0
802,28.0
803,28.0
804,28.0
805,28.0
806,30.0
807,30.0
808,28.0
809,28.0
810,28.0
811,28.0
812,28.0
813,30.0
814,27.0
815,27.0
816,27.0
817,27.0
818,38.0
819,27.0
820,31.0
821,37.0
822,38.0
823,27.0
824,27.0
825,36.0
826,36.0
827,36.0
828,6.0
829,6.0
830,6.0
831,6.0
832,15.0
833,15.0
834,18.0
835,18.0
836,22.0
837,22.0
838,22.0
839,22.0
840,22.0
841,22.0
842,22.0
843,22.0
844,22.0
845,22.0
846,22.0
847,22.0
848,22.0
849,22.0
850,25.0
851,25.0
852,24.0
853,32.0
854,30.0
855,30.0
856,30.0
857,25.0
858,25.0
859,25.0
860,25.0
861,25.0
862,15.0
863,10.0
864,10.0
865,17.0
866,17.0
867,26.0
868,55.0
869,20.0
870,20.0
871,20.0
872,20.0
873,20.0
874,20.0
875,20.0
876,20.0
877,20.0
878,20.0
879,20.0
880,31.0
881,21.0
882,17.0
883,17.0
884,14.0
885,34.0
886,70.0
887,27.0
888,33.0
889,42.0
890,42.0
891,36.0
892,32.0
893,57.0
894,35.0
895,49.0
896,32.0
897,28.0
898,43.0
899,50.0
900,40.0
901,26.0
902,38.0
903,14.0
904,28.0
905,28.0
906,28.0
907,28.0
908,14.0
909,14.0
910,25.0
911,25.0
912,25.0
913,25.0
914,35.0
915,32.0
916,32.0
917,30.0
918,40.0
919,40.0
920,40.0
921,25.0
922,25.0
923,25.0
924,25.0
925,6.0
926,25.0
927,28.0
928,28.0
929,32.0
930,32.0
931,28.0
932,28.0
933,28.0
934,28.0
935,28.0
936,28.0
937,27.0
938,27.0
939,28.0
940,27.0
941,27.0
942,27.0
943,60.0
944,27.0
945,27.0
946,21.0
947,30.0
